Order_ID,Order_Date,Product,Category,Region,Sales,Quantity,Profit,Customer_Type
ORD1027,2024-07-27,Smartphone,Electronics,North,121646.33,5,8288.22,Returning
ORD1062,2024-07-28,T-Shirt,Clothing,West,2748.78,3,552.76,New
ORD1035,2024-07-28,Wallet,Accessories,North,3221.65,4,699.45,Returning
ORD1058,2024-08-08,Smartphone,Electronics,East,201330.42,5,18075.63,New
ORD1067,2024-08-11,Office Chair,Furniture,South,11832.06,2,2280.58,Returning
ORD1079,2024-08-14,Sofa,Furniture,North,18359.17,1,1959.23,Returning
ORD1063,2024-08-18,Laptop,Electronics,North,323039.51,5,32130.54,Returning
ORD1066,2024-08-24,Bookshelf,Furniture,West,21753.86,3,2403.76,Returning
ORD1017,2024-08-26,Jacket,Clothing,North,13694.73,5,3836.67,New
ORD1049,2024-09-01,Backpack,Accessories,West,8234.71,3,1782.9,Returning
ORD1054,2024-09-09,Jeans,Clothing,South,8175.62,3,2213.24,Returning
ORD1078,2024-09-10,Bookshelf,Furniture,East,7598.98,1,1517.96,New
ORD1081,2024-09-10,Monitor,Electronics,East,62773.99,5,6425.76,Returning
ORD1040,2024-09-11,Office Chair,Furniture,North,27732.63,2,4763.8,Returning
ORD1030,2024-09-15,Laptop,Electronics,South,64115.09,1,5985.22,New
ORD1020,2024-09-18,T-Shirt,Clothing,North,6423.99,5,1576.66,New
ORD1013,2024-09-24,Wallet,Accessories,South,3690.52,3,1250.95,New
ORD1061,2024-09-26,Formal Shirt,Clothing,South,12390.7,5,2475.95,New
ORD1065,2024-09-27,Sofa,Furniture,East,136862.76,4,20594.99,Returning
ORD1043,2024-10-02,Monitor,Electronics,East,19716.55,1,2758.9,New
ORD1004,2024-10-03,Jacket,Clothing,South,5826.09,1,1667.38,Returning
ORD1053,2024-10-05,Smartphone,Electronics,South,125656.42,4,7901.88,New
ORD1007,2024-10-09,Backpack,Accessories,South,6461.97,3,1388.62,Returning
ORD1021,2024-10-09,Wallet,Accessories,East,1544.45,2,477.36,New
ORD1055,2024-10-10,Bookshelf,Furniture,West,24024.3,3,3634.25,Returning
ORD1056,2024-10-11,Bookshelf,Furniture,South,28196.89,3,3706.34,New
ORD1080,2024-10-11,Formal Shirt,Clothing,East,3281.53,2,1031.35,New
ORD1087,2024-10-13,Office Chair,Furniture,West,15882.52,2,1590.89,New
ORD1064,2024-10-17,Jacket,Clothing,East,19799.82,4,-904.11,New
ORD1025,2024-10-20,Laptop,Electronics,South,141405.83,3,16184.91,Returning
ORD1031,2024-10-21,Study Table,Furniture,South,27829.33,2,5423.54,New
ORD1008,2024-10-22,Jacket,Clothing,South,9164.36,3,2074.99,New
ORD1001,2024-10-27,T-Shirt,Clothing,South,890.77,1,197.94,New
ORD1046,2024-11-02,Headphones,Electronics,West,42292.33,5,5149.88,New
ORD1024,2024-11-02,Monitor,Electronics,North,51587.22,5,4270.27,New
ORD1083,2024-11-08,Wallet,Accessories,West,5507.09,5,2087.44,Returning
ORD1003,2024-11-08,Bookshelf,Furniture,North,5177.93,1,985.15,New
ORD1014,2024-11-09,Jeans,Clothing,West,6671.43,2,1425.92,New
ORD1045,2024-11-09,Headphones,Electronics,North,1540.72,1,167.13,Returning
ORD1073,2024-11-13,Monitor,Electronics,East,66089.16,5,4543.14,Returning
ORD1042,2024-11-20,Study Table,Furniture,North,26775.17,3,5136.66,Returning
ORD1019,2024-11-27,Monitor,Electronics,South,15772.77,1,1079.99,Returning
ORD1032,2024-12-09,Formal Shirt,Clothing,East,10525.87,5,3080.03,New
ORD1012,2024-12-09,Backpack,Accessories,West,1016.77,1,282.98,Returning
ORD1006,2024-12-12,Laptop,Electronics,South,155471.16,3,20834.63,Returning
ORD1023,2024-12-28,Sunglasses,Accessories,West,5237.09,5,1607.78,New
